timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
20,E11,22,82.71428571,12.71428571,0.149883788,511.6451613,1260.129032,0.404323196,1580,E
20,E12,23,103.9285714,15.46428571,0.153240132,723.4193548,1593.548387,0.452503254,2096,E
20,E13,24,200.5357143,20.39285714,0.107435797,1284.741935,3459.193548,0.367470201,1555,E
20,E14,25,51.64285714,6.571428571,0.12809595,479.6451613,1310.903226,0.370942281,1465,E
20,E16,1,90.03571429,15.89285714,0.180565305,882.4516129,1826,0.487356586,3903,E
20,E17,7,93.67857143,14.10714286,0.150880628,770.9677419,1688.741935,0.461622693,1882,E
20,P01,11,144.5357143,19.35714286,0.14063056,1052.129032,3254.064516,0.331449038,2790,P
20,P02,13,137.6071429,22.39285714,0.168696914,856.7096774,2267.064516,0.381962277,1850,P
20,P03,2,116.3214286,18.17857143,0.159298031,1133.032258,2213.903226,0.515194073,5000,P
20,P04,3,142.5357143,25.17857143,0.172333806,1035.903226,2184.16129,0.479947132,1910,P
20,P05,4,133.3214286,20.5,0.158963008,1138.935484,2451.548387,0.467379405,3500,P
20,P06,5,129.8571429,21.03571429,0.164550352,1459.451613,3980.290323,0.370402508,3634,P
20,P07,6,104.7142857,19.64285714,0.188432912,954.8387097,1967.064516,0.489690166,1907,P
20,P08,8,135.7857143,26.39285714,0.196326186,1380.774194,2678.258065,0.52670397,5991,P
20,P09,9,243.9285714,51.53571429,0.214411451,1340.967742,2591.806452,0.517315782,4624,P
21,E01,10,30.86666667,3.3,0.111128413,238.1612903,630.9677419,0.38194614,800,E
21,E02,12,31.9,4.533333333,0.132688805,369.9354839,888.5483871,0.426543908,1375,E
21,E03,14,26.46666667,4.166666667,0.159765566,295.6129032,761.2580645,0.391203145,1507,E
21,E04,15,78.93333333,15.36666667,0.191523667,626.3548387,1393.225806,0.461921738,2118,E
21,E05,16,15.4,2.733333333,0.175752779,221.3548387,566.6451613,0.394844742,1300,E
21,E06,17,39.43333333,5.366666667,0.132873511,433.7096774,1120.451613,0.395833727,1658,E
21,E07,18,21.46666667,1.8,0.088676744,247.3548387,640.0645161,0.387511772,1291,E
21,E08,19,39.5,5.933333333,0.146299928,552.6129032,1683.096774,0.338851024,1740,E
21,E09,20,20.43333333,2.566666667,0.140751848,244.4516129,618.9677419,0.401104581,1194,E
21,E10,21,31.73333333,4.233333333,0.13779258,244.6774194,668.2903226,0.368346434,1194,E
21,E11,22,40.33333333,6.8,0.170310883,327.7096774,876.3225806,0.377086315,1580,E
21,E12,23,51.33333333,6.466666667,0.127911883,503.6774194,1152.935484,0.441189219,2096,E
21,E13,24,112.6666667,12.93333333,0.117560375,893.6129032,2417.193548,0.372204535,1555,E
21,E14,25,26.03333333,3.9,0.152308365,320.1612903,942.516129,0.344516508,1465,E
21,E16,1,40.43333333,6.733333333,0.16365322,596,1323.741935,0.461281515,3903,E
21,E17,7,45.16666667,6.7,0.149378551,503.8709677,1178.354839,0.439565633,1882,E
21,P01,11,78.2,11,0.138065461,814.6451613,2573.677419,0.332477922,2790,P
21,P02,13,65.93333333,11.46666667,0.170646388,599.9032258,1650.419355,0.37216298,1850,P
21,P03,2,51.1,7.733333333,0.155832459,743.1290323,1563.451613,0.481538116,5000,P
