timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,introre_area,type,traffic_area_ratio,cc_transactions_instore_transactions_ratio,cc_transactions_traffic_ratio,cc_transactions_area_ratio,instore_transactions_area_ratio
3,E08,19,60.83870968,10.35483871,0.16957954,976.2580645,2600.580645,0.379950904,1740,E,1.494586578,0.062318266,0.023394279,0.034964776,0.561067853
3,E09,20,31.06451613,5.935483871,0.199121289,501.8064516,1185.193548,0.423924734,1194,E,0.992624412,0.061905374,0.026210501,0.026017183,0.42027341
3,E10,21,41.67741935,6.806451613,0.165872545,451.3225806,1101.741935,0.409051267,1194,E,0.922731939,0.092345079,0.037828658,0.034905711,0.377992111
3,E11,22,49.19354839,8.935483871,0.185881973,605.9032258,1476.645161,0.411293279,1580,E,0.934585545,0.081190438,0.033314401,0.031135157,0.383483054
3,E12,23,59.19354839,10.09677419,0.171094074,828.6774194,1751.096774,0.473863174,2096,E,0.835446934,0.071431352,0.033803699,0.028241197,0.395361364
3,E13,24,92.25806452,11.96774194,0.132315204,1031.741935,2341.322581,0.437970451,1555,E,1.505673685,0.08941971,0.039404252,0.059329945,0.663499637
3,E14,25,38.64516129,6.677419355,0.167514885,559.7419355,1444.741935,0.388054863,1465,E,0.98617197,0.069041033,0.026748833,0.02637895,0.382076406
4,E16,1,53.29032258,8.774193548,0.162238818,1019.645161,2315.935484,0.443260145,3903,E,0.59337317,0.052263596,0.023010279,0.013653682,0.261246518
4,P03,2,51.93548387,9.903225806,0.191287282,1211.354839,2531.225806,0.481963234,5000,P,0.506245161,0.042873882,0.020517918,0.010387097,0.242270968
4,P04,3,78.32258065,16.25806452,0.204311632,1123.612903,2535.612903,0.44596014,1910,P,1.327546023,0.069706017,0.030889013,0.041006587,0.588279007
4,P05,4,74.80645161,13.80645161,0.18763449,1235.548387,2827.322581,0.440318665,3500,P,0.807806452,0.060545141,0.026458407,0.021373272,0.353013825
4,P06,5,56.09677419,10.06451613,0.180175618,1343.451613,3710.322581,0.365961433,3634,P,1.021002361,0.041755709,0.01511911,0.015436647,0.369689492
4,P07,6,67.06451613,12.29032258,0.188010625,1111.645161,2539.870968,0.439887759,1907,P,1.331867314,0.060329068,0.026404694,0.035167549,0.582928768
4,E17,7,44.61290323,7.838709677,0.183702174,856.2580645,2005.129032,0.43067912,1882,E,1.065424565,0.05210217,0.022249393,0.02370505,0.454972404
4,P08,8,77.41935484,14.09677419,0.183150588,1449.129032,3226.967742,0.454171244,5991,P,0.538635911,0.053424749,0.023991363,0.01292261,0.241884332
4,P09,9,108.2580645,20.29032258,0.187349903,1373.935484,2730.290323,0.504765961,4624,P,0.59046071,0.07879414,0.039650752,0.023412211,0.297131376
4,E01,10,34.51612903,4.612903226,0.132561769,379.7419355,996.2580645,0.382701706,800,E,1.245322581,0.090893646,0.034645771,0.043145161,0.474677419
4,P01,11,74,8.935483871,0.119063518,1130.483871,2887.741935,0.398562788,2790,P,1.035032952,0.065458696,0.025625559,0.026523297,0.405191352
4,E02,12,36.64516129,6.387096774,0.171804491,574.4193548,1378.387097,0.419413562,1375,E,1.002463343,0.063795137,0.026585537,0.026651026,0.417759531
4,P02,13,69.5483871,9.612903226,0.140480188,943.8387097,2393.967742,0.397715924,1850,P,1.294036617,0.073686729,0.029051514,0.037593723,0.510183086
4,E03,14,29.41935484,5.548387097,0.194201326,490.9354839,1292.322581,0.381255057,1507,E,0.857546503,0.059925094,0.022764715,0.019521801,0.325770062
4,E04,15,76.87096774,15.80645161,0.204150774,865.6451613,1866.290323,0.467493337,2118,E,0.881156904,0.088801938,0.04118918,0.03629413,0.408708764
4,E05,16,20.03225806,4.064516129,0.196844629,361.516129,922.1290323,0.393957547,1300,E,0.709330025,0.055411796,0.021723921,0.015409429,0.27808933
4,E06,17,51.48387097,7.225806452,0.138524558,656.5806452,1607.967742,0.410361436,1658,E,0.969823729,0.078412106,0.032017975,0.031051792,0.396007627
